YEAR,DOY,swv_dwn,lwv_dwn,T2M,T2MN,T2MX,RH2M,RAIN,WS10M
2001,54,5.65,25.81,4.71,1.10,6.93,86.82,0.00,3.55
2001,55,7.27,23.08,0.35,-1.95,3.51,88.08,0.00,2.80
2001,56,12.64,21.13,-1.35,-4.14,3.11,76.13,0.00,2.11
2001,57,10.19,21.67,-0.02,-3.92,4.46,78.09,0.00,2.78
2001,58,6.34,25.31,2.06,0.47,4.10,68.40,3.66,4.60
2001,59,6.62,24.48,2.11,-0.67,3.99,83.34,0.18,2.32
2001,60,6.23,24.84,1.61,-1.09,4.01,88.96,0.00,2.95
2001,61,7.34,22.75,1.13,-2.90,5.64,86.21,14.38,2.46
2001,62,7.52,24.91,0.96,-2.65,3.49,89.48,3.38,3.33
2001,63,5.47,26.78,4.90,-0.35,9.51,95.13,0.00,2.39
2001,64,7.78,22.50,2.21,-2.64,7.16,93.23,0.00,1.43
2001,65,12.35,25.78,7.54,0.57,14.43,81.72,0.99,4.16
2001,66,8.39,28.69,12.59,9.29,16.70,81.81,17.55,3.68
2001,67,6.73,27.25,10.37,8.18,13.31,91.29,10.40,3.02
2001,68,7.42,27.47,10.01,7.73,12.98,82.17,3.62,4.85
2001,69,7.20,27.61,9.98,3.27,13.89,92.07,0.00,4.30
2001,70,5.08,28.91,11.79,5.46,15.43,92.51,10.76,4.28
2001,71,7.45,26.64,8.45,3.99,11.97,90.71,5.13,3.09
2001,72,6.91,25.92,7.66,3.56,11.64,83.29,2.44,6.29
2001,73,7.92,26.60,7.22,2.79,10.64,89.22,5.11,4.13
2001,74,5.83,28.55,10.37,8.32,11.86,92.76,4.76,4.13
2001,75,12.06,26.35,9.89,6.30,15.69,81.55,3.43,3.24
2001,76,11.77,26.50,9.24,5.40,12.80,88.62,5.51,2.32
2001,77,6.88,27.50,9.63,7.79,12.32,86.49,0.00,4.80
2001,78,9.61,24.80,5.13,2.77,7.89,70.54,3.95,2.77
2001,79,4.79,26.68,6.70,3.58,10.32,93.34,23.86,5.06
2001,80,11.23,27.72,12.15,7.88,17.75,82.43,1.56,4.32
2001,81,8.03,28.58,10.94,8.08,14.70,85.96,7.81,5.03
2001,82,7.92,29.05,12.11,7.91,16.81,79.45,6.61,5.34
2001,83,5.18,28.44,10.27,7.70,13.76,91.62,1.68,2.38
2001,84,5.18,28.01,8.02,3.90,10.60,89.47,3.18,3.21
2001,85,6.12,26.39,4.68,2.30,7.82,81.97,0.00,1.81
2001,86,13.90,25.31,6.77,1.58,12.78,83.14,0.00,2.76
2001,87,9.50,25.74,6.96,-0.27,10.78,90.09,0.03,5.27
2001,88,11.59,26.82,7.96,3.80,11.23,84.41,0.00,4.78
2001,89,13.07,23.83,7.30,3.33,12.11,79.47,0.00,3.05
2001,90,11.77,26.35,9.04,1.61,15.89,78.40,2.52,3.36
2001,91,15.95,26.60,12.04,7.69,18.08,76.88,1.87,2.06
2001,92,18.40,25.45,13.21,6.97,21.63,62.57,0.00,4.05
2001,93,11.63,28.44,11.62,8.90,14.49,74.55,0.00,4.07
2001,94,10.87,27.18,9.41,6.65,11.63,78.24,16.48,6.09
2001,95,10.33,26.32,7.69,2.57,10.61,76.01,15.48,5.02
2001,96,6.48,27.43,11.21,7.55,14.64,85.08,17.53,5.71
2001,97,11.59,26.96,8.48,5.41,12.44,80.95,2.82,4.49
2001,98,8.42,27.83,7.78,3.94,11.72,79.00,0.00,4.22
2001,99,5.18,27.61,9.73,3.91,12.25,91.24,8.50,4.51
2001,100,11.70,28.08,9.61,6.85,11.22,80.23,0.00,5.33
2001,101,5.08,27.18,7.86,5.28,11.42,79.95,0.00,5.10
2001,102,13.00,24.73,5.60,1.14,10.15,78.60,0.00,3.35
2001,103,11.34,25.78,4.49,0.13,8.99,69.63,0.00,3.43
2001,104,17.86,23.98,3.43,-2.00,8.32,61.85,1.44,2.57
2001,105,6.16,27.22,9.07,6.60,11.66,82.47,12.65,5.21
2001,106,13.07,26.39,7.80,3.59,11.09,73.11,0.00,3.63
2001,107,11.20,25.60,5.17,0.47,10.03,73.68,5.60,2.57
2001,108,9.58,24.98,5.66,1.91,8.66,80.57,0.00,3.50
2001,109,14.65,24.08,3.08,-0.82,8.19,71.51,0.00,2.72
2001,110,14.11,25.27,3.31,-0.77,8.19,79.83,3.08,3.82
2001,111,13.61,24.91,4.83,0.91,9.94,73.39,0.00,5.04
2001,112,18.07,25.27,3.97,-2.61,12.29,64.54,0.00,1.35
2001,113,15.73,26.46,7.97,1.94,13.99,63.45,0.46,1.73
2001,114,9.97,28.51,10.86,3.76,18.24,71.33,7.52,4.25
2001,115,13.86,27.94,10.63,5.42,14.37,76.79,3.55,4.98
2001,116,16.42,26.46,11.17,7.67,15.52,69.51,0.00,5.17
2001,117,10.01,29.05,11.47,8.07,14.77,75.59,0.00,3.16
2001,118,6.16,28.30,11.06,8.22,13.21,83.30,11.83,5.27
2001,119,12.67,26.78,11.32,8.76,14.00,76.03,11.77,3.63
2001,120,8.86,28.87,10.66,9.46,12.13,89.94,14.01,2.05
2001,121,12.24,29.05,13.73,10.11,17.79,64.62,3.16,4.12
2001,122,14.22,29.92,12.59,10.08,16.47,93.22,0.82,2.56
2001,123,7.34,29.52,12.06,7.54,14.16,88.64,7.12,2.32
2001,124,10.48,28.19,9.61,5.77,12.15,83.90,0.30,2.62
2001,125,7.56,27.58,9.05,6.80,11.99,73.70,0.79,6.60
2001,126,13.57,28.15,9.14,4.52,14.26,67.12,1.54,4.37
2001,127,11.23,29.05,10.60,5.14,14.76,72.06,0.52,3.21
2001,128,20.41,29.88,12.35,7.29,17.24,69.53,0.00,3.15
2001,129,15.95,30.56,14.82,11.40,19.44,72.29,0.00,2.29
2001,130,9.04,29.30,16.88,9.22,24.27,64.05,7.21,1.20
2001,131,27.07,27.79,17.88,9.59,25.61,53.76,0.00,2.82
2001,132,24.80,26.64,18.24,9.19,26.53,51.65,0.00,2.44
2001,133,21.46,30.28,19.87,12.25,27.04,43.98,3.19,3.18
2001,134,8.14,29.45,12.33,8.47,16.44,77.92,3.94,1.96
2001,135,13.36,30.02,13.39,8.20,19.28,76.23,2.38,2.45
2001,136,12.74,29.92,14.16,8.53,19.00,69.33,1.40,5.67
2001,137,16.96,29.56,13.65,10.75,17.30,58.45,0.00,5.72
2001,138,16.13,29.41,11.00,4.95,17.05,63.24,0.00,3.80
2001,139,23.80,26.96,11.87,4.81,18.24,62.69,0.00,1.91
2001,140,27.68,25.06,14.34,6.69,21.27,57.22,0.00,3.68
2001,141,29.88,25.16,17.24,9.79,24.03,49.72,0.00,5.42
2001,142,27.00,26.60,17.57,11.57,23.66,46.04,1.17,5.28
2001,143,26.89,27.11,18.28,11.19,24.90,47.68,0.00,3.18
